geoid,aland,awater,lat,lon,name,land_acre
40131166123,5187282,0,33.3631812,-112.1261809,Laveen,1281.803319
40131166122,1279152,0,33.38502,-112.1206984,Laveen,316.084855
40131166121,1297275,3652,33.3847236,-112.1274243,Laveen,320.5631389
40131166112,11068029,0,33.3417503,-112.1529248,Laveen,2734.965306
40131166111,1600761,0,33.358242,-112.1596693,Laveen,395.5560469
40131166102,3774808,103256,33.3711938,-112.1485436,Laveen,932.7739308
40131166101,1276321,0,33.3665502,-112.1604744,Laveen,315.3853007
40131166092,6553540,0,33.3514411,-112.1770594,Laveen,1619.412502
40136147002,1652187,0,33.6768816,-112.1062132,Deer Valley,408.2636686
40136147001,12924582,58806,33.6871044,-112.0736156,Deer Valley,3193.728835
40136144002,762488,0,33.6747011,-112.1464762,Deer Valley,188.4145972
40131096023,440115,0,33.4973122,-112.2163916,Maryvale,108.7546171
40131096031,373698,0,33.5004421,-112.2263507,Maryvale,92.34264429
40131096033,296316,0,33.5071024,-112.2250644,Maryvale,73.22116518
40131096041,356299,0,33.5065629,-112.2143381,Maryvale,88.0432644
40131096042,721677,0,33.5049534,-112.2070267,Maryvale,178.3299951
40131097011,162942,0,33.4930111,-112.2054079,Maryvale,40.26378291
40131097012,458573,0,33.488496,-112.2080536,Maryvale,113.3156812
40131097013,510923,0,33.4832747,-112.2071503,Maryvale,126.2516279
40131097021,677565,0,33.4907771,-112.2332312,Maryvale,167.4296993
40131097022,427192,0,33.4832826,-112.2349141,Maryvale,105.5612792
40131097031,586146,0,33.4835414,-112.2160243,Maryvale,144.8396073
40131097041,347924,0,33.4894583,-112.2243425,Maryvale,85.97376002
40131097051,305128,0,33.4824354,-112.2237011,Maryvale,75.39865444
40131098021,653650,0,33.4913812,-112.1907679,Maryvale,161.5201833
40131098022,360649,0,33.4856684,-112.1910853,Maryvale,89.11817115
40131042123,645407,0,33.5999593,-112.146963,North Mountain,159.4832967
40131032163,646112,0,33.631721,-111.9746089,Paradise Valley,159.6575058
40131035023,651081,0,33.6005849,-112.0175177,Paradise Valley,160.8853705
40131035012,701697,0,33.6226063,-112.0183945,Paradise Valley,173.3928372
40131032142,1244480,0,33.622477,-111.9516615,Paradise Valley,307.5172304
40131032103,178374,0,33.6091789,-111.989698,Paradise Valley,44.07710727
40131032106,788884,0,33.6013929,-111.9862706,Paradise Valley,194.9371808
40131049003,1296504,0,33.5897903,-112.0087869,Paradise Valley,320.3726209
40131117004,647191,0,33.4766106,-112.0607245,Encanto,159.9241321
40131104002,622069,0,33.4840549,-112.087229,Encanto,153.7163602
40131078001,1464096,26312,33.5259577,-112.0198253,Camelback East,361.7854421
40131077003,237334,0,33.5129165,-112.045936,Camelback East,58.64641807
40131051024,549346,3554,33.5427016,-112.0428183,Camelback East,135.7461433
40131077004,481487,0,33.5195164,-112.0439161,Camelback East,118.9778451
40131077001,839428,0,33.5206293,-112.0357646,Camelback East,207.4268559
40131077005,209817,0,33.5110578,-112.0416641,Camelback East,51.84682979
40131106003,438939,0,33.4922662,-112.0607559,Encanto,108.4640216
40131036052,2129328,7131,33.6167663,-112.0804451,North Mountain,526.1675954
40131167041,2348137,0,33.3729985,-111.981558,South Mountain,580.2363934
40131089023,370685,0,33.5073304,-112.0866257,Alhambra,91.59811693
40131036051,2434538,0,33.6177229,-112.0918697,North Mountain,601.5865125
40131156001,2552661,0,33.3994726,-112.1078245,South Mountain,630.7752964
40131033024,160740,0,33.6245759,-111.9981814,Paradise Valley,39.7196577
40131033021,602673,0,33.6224932,-112.0043945,Paradise Valley,148.9235117
40131167101,1532049,0,33.3304661,-112.0069578,Ahwatukee Foothills,378.5769681
40131148001,4429181,167227,33.420389,-112.0954589,Central City,1094.472771
40131149002,727806,0,33.4329935,-112.0780451,Central City,179.8445016
40131118001,623697,0,33.476746,-112.0693539,Encanto,154.1186472
40131149001,2088193,0,33.4276575,-112.072561,Central City,516.0029313
40131173001,7484213,122467,33.420063,-112.1144023,Estrella,1849.386453
40131171002,415348,2589,33.4993576,-112.0813885,Encanto,102.6345675
40131170001,813195,0,33.4879741,-112.102714,Encanto,200.9445505
40131167312,838073,0,33.2953007,-112.0925853,Ahwatukee Foothills,207.0920287
40131167141,1011330,0,33.2989129,-112.0188464,Ahwatukee Foothills,249.9046997
40131167081,920415,16465,33.3352678,-111.9865225,Ahwatukee Foothills,227.4391486
40131166091,1312948,0,33.3739039,-112.1774717,Laveen,324.4360155
40131166082,5801997,604,33.3671923,-112.2025579,Laveen,1433.702469
40131166081,1146419,0,33.3739226,-112.2139989,Laveen,283.285867
40131166071,2583288,722,33.3992932,-112.1235099,Laveen,638.3433812
40131166063,1296977,0,33.384877,-112.1380338,Laveen,320.4895016
40131166062,621057,0,33.3811364,-112.1467257,Laveen,153.46629
40131166061,659654,0,33.3883614,-112.1466353,Laveen,163.0038017
40131166052,1336204,0,33.3847873,-112.1554573,Laveen,330.1826894
40131166051,1227152,0,33.3848526,-112.1640251,Laveen,303.235395
40131166042,1076673,0,33.3844744,-112.1718444,Laveen,266.0512817
40131166041,1492730,0,33.3849613,-112.1802908,Laveen,368.8610467
40131172002,729429,0,33.4340848,-112.0586525,Central City,180.245553
40131172001,5895382,5647,33.4255341,-112.0462454,Central City,1456.778369
40131171001,1179347,7473,33.4995231,-112.0691809,Encanto,291.4225404
40131099002,555476,3689,33.4931583,-112.180314,Maryvale,137.260897
40131099003,845086,0,33.4853419,-112.1822934,Maryvale,208.824976
40131099004,845635,10088,33.489559,-112.173716,Maryvale,208.9606367
40131123021,262229,0,33.4769866,-112.1671248,Maryvale,64.79809705
40131124012,643200,0,33.4768873,-112.1821063,Maryvale,158.937936
40131124021,646935,0,33.4696048,-112.1821006,Maryvale,159.8608732
