geoid,aland20,awater20,lat20,lon20,name,state_plac,land_acre
40131167123012,14414,0,33.2938584,-111.98996,Ahwatukee Foothills,455000,3.56177147
40131166141024,18021,0,33.3801458,-112.088775,South Mountain,455000,4.453079205
40131124022001,17553,0,33.4721383,-112.1718019,Maryvale,455000,4.337434065
40131126022005,12624,0,33.4553663,-112.1423056,Estrella,455000,3.11945352
40136124012015,7769,0,33.6885431,-112.0360442,Desert View,455000,1.919758745
40131125041001,17476,0,33.4782637,-112.1890611,Maryvale,455000,4.31840698
40131142001011,13294,0,33.442695,-112.074422,Central City,455000,3.28501387
40131158011002,26715,0,33.4058098,-112.0682029,South Mountain,455000,6.601410075
40131165003006,55685,0,33.3879699,-112.0704997,South Mountain,455000,13.76004193
40131166121039,10714,0,33.3814562,-112.1325913,Laveen,455000,2.64748297
40131048023004,108605,0,33.5857794,-112.0343846,Paradise Valley,455000,26.83683853
40131032113008,10894,0,33.6187619,-111.9946754,Paradise Valley,455000,2.69196187
40131125243000,1247327,0,33.4578963,-112.2316201,Estrella,455000,308.2207383
40131097072002,20520,0,33.4908505,-112.2090913,Maryvale,455000,5.0705946
40131032103008,18804,0,33.6083762,-111.9920012,Paradise Valley,455000,4.64656242
40131032101001,14267,0,33.6106155,-111.980809,Paradise Valley,455000,3.525447035
40131032094021,37084,0,33.5784393,-111.9448327,Paradise Valley,455000,9.16364182
40131070012002,46882,0,33.537432,-112.1485041,Alhambra,455000,11.58477661
40131049001003,91508,0,33.5933815,-111.9975847,Paradise Valley,455000,22.61208434
40131145002011,28375,0,33.4453852,-112.1275725,Estrella,455000,7.011604375
40131032072013,53428,0,33.6022182,-111.9391627,Paradise Valley,455000,13.20232594
40131036052009,406017,0,33.6174779,-112.0839324,North Mountain,455000,100.3288308
40131166054014,13214,0,33.386738,-112.1623046,Laveen,455000,3.26524547
40131147041022,46805,0,33.4301938,-112.1320316,Estrella,455000,11.56574953
40136164002009,24770,0,33.6560768,-112.1176797,Deer Valley,455000,6.12079085
40131057012007,44608,0,33.556603,-112.1499173,North Mountain,455000,11.02285984
40130820122001,24809,0,33.5045616,-112.3006347,Maryvale,455000,6.130427945
40131166102005,40433,0,33.3762948,-112.1592885,Laveen,455000,9.991196465
40131044022018,168604,0,33.5694051,-112.1145819,North Mountain,455000,41.66289142
40131160004003,30623,0,33.3985336,-112.0443144,South Mountain,455000,7.567096415
40131167323003,309198,0,33.3576644,-112.1048873,South Mountain,455000,76.40437179
40136198001008,26134,0,33.6460328,-111.9855648,Paradise Valley,455000,6.45784207
40131060011014,81710,0,33.5435764,-112.1147886,Alhambra,455000,20.19094955
40131140001012,25881,0,33.4488508,-112.0553131,Central City,455000,6.395324505
40131078001001,11071,0,33.5281443,-112.0190798,Camelback East,455000,2.735699455
40131036151006,17241,0,33.5861608,-112.0842933,North Mountain,455000,4.260337305
40131144021017,24874,0,33.4475456,-112.1011682,Central City,455000,6.14648977
40131092004001,12493,0,33.5085489,-112.1499606,Alhambra,455000,3.087082765
40131052002012,29861,0,33.5571333,-112.0586999,North Mountain,455000,7.378802405
40131136013001,563658,0,33.4622271,-112.0000656,Camelback East,455000,139.2827101
40131160001008,17883,0,33.4022428,-112.031102,South Mountain,455000,4.418978715
40131139001001,58209,0,33.4490765,-112.0364895,Central City,455000,14.38373495
40131061002004,42266,0,33.5477772,-112.097467,Alhambra,455000,10.44413993
40131121001006,10895,0,33.4799147,-112.1315437,Maryvale,455000,2.692208975
40131047022008,35639,0,33.5694097,-112.0609633,North Mountain,455000,8.806575095
40131047024005,9724,0,33.5804807,-112.0491704,North Mountain,455000,2.40284902
40136162001013,22212,0,33.6588749,-112.1669159,Deer Valley,455000,5.48869626
40131032152020,20471,0,33.6282793,-111.9793766,Paradise Valley,455000,5.058486455
40131166161013,64549,0,33.386995,-112.1095736,South Mountain,455000,15.95038065
40131090023009,23495,0,33.5028387,-112.1028184,Alhambra,455000,5.805731975
40131032122007,11688,0,33.614065,-111.9744429,Paradise Valley,455000,2.88816324
40136164001011,44017,0,33.6608391,-112.1324149,Deer Valley,455000,10.87682079
40136167001012,11744,0,33.6641692,-112.0687941,Deer Valley,455000,2.90200112
40131137011000,226652,0,33.4604636,-111.9907187,Camelback East,455000,56.00684246
40131136021014,4256,0,33.452844,-112.008853,Central City,455000,1.05167888
40136181002002,93153,0,33.6532487,-112.167184,Deer Valley,455000,23.01857207
40131072022001,10417,0,33.5236308,-112.120576,Alhambra,455000,2.574092785
40131167211008,18580,0,33.3111349,-112.0244518,Ahwatukee Foothills,455000,4.5912109
40131142001054,13392,0,33.4385857,-112.0744238,Central City,455000,3.30923016
40131036091012,9654,0,33.6153687,-112.1154392,North Mountain,455000,2.38555167
40136100023003,119492,0,33.8939867,-112.1497919,Rio Vista,499999,29.52707066
40131048022011,47547,0,33.5928588,-112.0256032,Paradise Valley,455000,11.74910144
40136123021009,28715,0,33.7319257,-112.1064185,Deer Valley,455000,7.095620075
40136143001015,52056,0,33.6697005,-112.1584875,Deer Valley,455000,12.86329788
40136173001001,13837,0,33.6563158,-111.983091,Paradise Valley,455000,3.419191885
40131125182037,37054,0,33.4102786,-112.2230541,Estrella,455000,9.15622867
40131125201010,38638,0,33.475445,-112.2100576,Maryvale,455000,9.54764299
40130820022009,41336,0,33.4945176,-112.2793291,Maryvale,455000,10.21433228
40136151002018,17156,0,33.6922922,-111.9761728,Desert View,455000,4.23933338
40136128001025,38657,0,33.7462479,-111.9803161,Desert View,455000,9.552337985
40131129004003,21044,0,33.4599784,-112.0967221,Central City,455000,5.20007762
40131129002005,22383,0,33.4591924,-112.0859053,Central City,455000,5.530951215
40131158021005,108736,0,33.4016779,-112.0763706,South Mountain,455000,26.86920928
40131125152001,328079,0,33.4144598,-112.1993975,Estrella,455000,81.0699613
40131042252014,79099,0,33.6296365,-112.1532005,Deer Valley,455000,19.5457584
40131042191007,56988,0,33.6030245,-112.1524115,North Mountain,455000,14.08201974
40131032093031,86661,0,33.5829764,-111.9461076,Paradise Valley,455000,21.41436641
40131036092003,19118,0,33.6208588,-112.1112283,North Mountain,455000,4.72415339
40131155002012,95305,0,33.3949956,-112.1396878,Laveen,455000,23.55034203
40131155001003,123770,0,33.4045539,-112.1406803,Laveen,455000,30.58418585
40131034003009,153211,0,33.598821,-112.0104983,Paradise Valley,455000,37.85920416
40136100023043,2698,0,33.8709254,-112.1469716,Rio Vista,499999,0.66668929
40136190002007,9645,0,33.6487198,-112.0532157,Deer Valley,455000,2.383327725
40131042191017,21668,0,33.5985149,-112.1569877,North Mountain,455000,5.35427114
40131166123012,307611,0,33.3738959,-112.1197603,Laveen,499999,76.01221616
40136170011008,7804,0,33.6727966,-112.0119374,Paradise Valley,455000,1.92840742
40130927192020,39151,0,33.5123127,-112.283418,Maryvale,455000,9.674407855
40131036072006,43324,0,33.6142199,-112.0413878,Paradise Valley,455000,10.70557702
40131166192068,25355,0,33.3401248,-112.1755113,Laveen,455000,6.265347275
40131044022000,67133,0,33.5812676,-112.10195,North Mountain,455000,16.58889997
40131117004024,21248,0,33.475694,-112.064528,Encanto,455000,5.25048704
40131125172002,39147,0,33.4219735,-112.2072112,Estrella,499999,9.673419435
40131162023004,52031,0,33.3850114,-111.9932128,South Mountain,455000,12.85712026
40136117001015,11957,0,33.7094361,-112.1919667,Deer Valley,455000,2.954634485
40136133002009,15193,0,33.727636,-111.9940983,Desert View,455000,3.754266265
40131114022013,27210,0,33.4682018,-111.996312,Camelback East,455000,6.72372705
40136195001005,24629,0,33.6512262,-112.0294831,Paradise Valley,455000,6.085949045
40131032161008,34829,0,33.6356887,-111.9629036,Paradise Valley,455000,8.606420045
40131051012011,72218,0,33.5798445,-111.9889212,Paradise Valley,455000,17.84542889
40131137022002,132629,0,33.4578483,-111.9906275,Camelback East,455000,32.77328905
40131032203000,130507,0,33.6204128,-111.9325914,Paradise Valley,455000,32.24893224
40131166122002,31018,0,33.3783968,-112.1178777,Laveen,499999,7.66470289
